chrom	classifiedWinStart	classifiedWinEnd	bigWinRange	pi_win0	thetaW_win0	tajD_win0	distVar_win0	distSkew_win0	distKurt_win0	nDiplos_win0	diplo_H1_win0	diplo_H12_win0	diplo_H2/H1_win0	diplo_ZnS_win0	diplo_Omega_win0
1	1001	3000	2001-4000	4.8566997066372387e-05	0.00017035501071981988	nan	2.2444691509661347e-08	2.8022495103296943	6.241153481943186	3	0.9042	0.9802	0.0018801150188011502	-0.020515248	0.0
1	3001	5000	4001-6000	0.00019101016102556872	0.00017061105532511017	nan	6.233062828491145e-08	0.5549109429844499	-1.3948366086632178	4	0.6155999999999999	0.9605999999999999	0.08625730994152048	-0.056095302	0.0
1	5001	7000	6001-8000	0.00024423921408846033	0.00025566041023192184	-0.07158475824927933	7.499524697061696e-08	0.3784315728882355	-0.9768580109285829	5	0.5104000000000001	0.8668000000000001	0.14655172413793102	-0.06515375	0.0
1	7001	9000	8001-10000	4.778647994728397e-05	8.522013674397396e-05	nan	2.173566984645547e-08	2.7435739251887483	5.527197882975596	2	0.9049999999999999	1.0	0.00276243093922652	0.0	0.0
1	11001	13000	12001-14000	0.00011555020973671563	0.0003410512432938607	-1.1762752680212192	9.49379021611038e-08	2.4449050994355894	4.357060797066944	4	0.8676	0.9606000000000001	0.0031120331950207475	0.14961173	0.0
1	17001	19000	18001-20000	1.4916369895686368e-05	8.551975550701153e-05	nan	9.642038642050513e-09	4.708327841191316	20.16835106013727	3	0.9605999999999999	0.9802	0.0002082032063293775	0.0	0.0
1	19001	21000	20001-22000	0.0002400277942820314	0.00034122211065022034	-0.5275929965255383	9.075664171361512e-08	0.7163035290336693	-0.336468633729917	7	0.5393999999999999	0.8844	0.11735261401557287	0.037966933	0.0
1	21001	23000	22001-24000	2.987912535651229e-05	0.00025566041023192184	-1.4151318734045784	2.4355617572596933e-08	5.474605131864112	29.911590049884992	3	0.9605999999999999	0.9802	0.0002082032063293775	0.32659933	0.0
1	23001	25000	24001-26000	8.176860216788913e-05	0.0002563018061431911	-1.0911861592611853	3.818284870263115e-08	1.925647318359416	2.345712044292478	5	0.8320000000000001	0.9411999999999999	0.004687499999999999	-0.024401352	0.0
1	27001	29000	28001-30000	0.0002514071860805529	8.522013674397396e-05	nan	6.248812968466773e-08	-0.09789483814127392	-1.9904166006652937	3	0.4808	0.9607999999999999	0.4800332778702163	0.0	0.0
