chrom	classifiedWinStart	classifiedWinEnd	bigWinRange	pi_win0	thetaW_win0	tajD_win0	distVar_win0	distSkew_win0	distKurt_win0	nDiplos_win0	diplo_H1_win0	diplo_H12_win0	diplo_H2/H1_win0	diplo_ZnS_win0	diplo_Omega_win0
1	-999	1000	1-2000	9.979687807140013e-06	8.539108987686056e-05	nan	4.930528897635636e-09	6.8571428571428585	45.02040816326531	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	1001	3000	2001-4000	3.925486219278667e-05	0.00017052562164693034	nan	1.8507325519594808e-08	3.217337190092573	8.782689445528973	3	0.9226	0.9802	0.0010838933448948623	-0.017674908	0.0
1	3001	5000	4001-6000	9.959708452170764e-06	8.522013674397396e-05	nan	4.910806801806713e-09	6.857142857142853	45.02040816326529	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	5001	7000	6001-8000	9.964695787399693e-06	8.526281082346517e-05	nan	4.915726217277743e-09	6.857142857142858	45.02040816326532	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	7001	9000	8001-10000	1.9737968399109777e-05	8.530552766255509e-05	nan	9.547101111129581e-09	4.721899033230743	20.296330480025414	2	0.9607999999999999	1.0	0.0004163197335553706	0.0	0.0
1	9001	11000	10001-12000	4.9771711394743686e-05	0.0003420790220280461	-1.5201740036178772	2.3544378376278436e-08	2.8639835241717484	6.977350804380821	5	0.9031999999999999	0.9411999999999999	0.0007750221434898141	-0.012229347	0.0
1	11001	13000	12001-14000	4.9520053856840645e-05	0.0002563018061431911	-1.292804927333886	2.331388999797579e-08	2.8525770808661632	6.8425695315580395	4	0.9034	0.9413999999999999	0.0009962364401151207	-0.01637451	0.0
1	15001	17000	16001-18000	9.96968811995851e-06	8.530552766255509e-05	nan	4.920653028511832e-09	6.8571428571428585	45.020408163265316	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	17001	19000	18001-20000	9.954726106771978e-06	8.517750535990994e-05	nan	4.905894767303512e-09	6.857142857142856	45.02040816326531	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	21001	23000	22001-24000	1.9718210672984544e-05	8.522013674397396e-05	nan	9.527997361815778e-09	4.721899033230743	20.29633048002541	2	0.9607999999999999	1.0	0.0004163197335553706	0.0	0.0
1	23001	25000	24001-26000	4.969682918101037e-05	0.00034156435950744225	-1.5201740036178772	3.343425043793763e-08	3.9672489826092527	16.216230577321067	4	0.9221999999999999	0.9605999999999999	0.0006506180871828238	0.15612082	0.0
